date: 2023-04-30 time: 20:46:54 Download: 158.61 Upload: 5.03
date: 2023-04-30 time: 20:47:47 Download: 143.37 Upload: 4.94
date: 2023-04-30 time: 20:48:38 Download: 162.52 Upload: 4.54
date: 2023-04-30 time: 20:50:34 Download: 15.98 Upload: 4.73
date: 2023-04-30 time: 20:52:32 Download: 164.78 Upload: 4.81
date: 2023-04-30 time: 20:53:22 Download: 14.34 Upload: 4.08
date: 2023-04-30 time: 20:55:12 Download: 15.26 Upload: 4.25
date: 2023-04-30 time: 20:58:16 Download: 173.07 Upload: 3.21
date: 2023-05-01 time: 09:44:02 Download: 13.83 Upload: 41.05
date: 2023-05-01 time: 09:44:47 Download: 25.68 Upload: 20.12
date: 2023-05-01 time: 09:46:28 Download: 37.83 Upload: 37.24
date: 2023-05-01 time: 09:47:13 Download: 21.84 Upload: 29.92
date: 2023-05-01 time: 09:48:49 Download: 18.28 Upload: 9.78
date: 2023-05-01 time: 09:49:43 Download: 21.94 Upload: 16.52
date: 2023-05-01 time: 09:52:29 Download: 40.59 Upload: 43.26
date: 2023-05-01 time: 09:53:40 Download: 32.09 Upload: 40.56
date: 2023-05-01 time: 09:55:02 Download: 8.34 Upload: 15.73
date: 2023-05-02 time: 16:00:12 Download:Upload: 5.06
date: 2023-05-02 time: 16:10:01 Download: 171.07 Upload: 5.21
date: 2023-05-02 time: 16:10:56 Download: 178.30 Upload: 4.94
date: 2023-05-02 time: 16:11:51 Download: 178.50 Upload: 4.63
date: 2023-05-02 time: 16:12:46 Download: 192.12 Upload: 4.76
date: 2023-05-02 time: 16:13:42 Download: 165.66 Upload: 4.95
date: 2023-05-02 time: 16:14:39 Download: 172.25 Upload: 4.89
date: 2023-05-02 time: 16:15:34 Download: 197.71 Upload: 5.02
date: 2023-05-02 time: 16:16:30 Download: 177.60 Upload: 4.91
date: 2023-05-02 time: 16:17:26 Download: 181.75 Upload: 4.79
date: 2023-05-02 time: 16:18:23 Download: 176.76 Upload: 4.87
date: 2023-05-02 time: 16:19:18 Download: 179.93 Upload: 5.03
date: 2023-05-02 time: 16:20:15 Download: 176.20 Upload: 5.05
date: 2023-05-02 time: 16:21:05 Download: 178.25 Upload: 5.04
date: 2023-05-02 time: 16:22:01 Download: 177.70 Upload: 5.04
date: 2023-05-02 time: 16:22:54 Download: 163.10 Upload: 5.15
date: 2023-05-02 time: 16:23:47 Download: 194.97 Upload: 5.13
date: 2023-05-02 time: 16:24:42 Download: 173.96 Upload: 4.87
date: 2023-05-02 time: 16:25:36 Download: 177.59 Upload: 5.30
date: 2023-05-02 time: 16:26:34 Download: 190.36 Upload: 5.05
date: 2023-05-02 time: 16:27:28 Download: 199.70 Upload: 4.87
date: 2023-05-02 time: 16:28:24 Download: 168.77 Upload: 5.03
date: 2023-05-02 time: 16:29:20 Download: 173.04 Upload: 4.78
date: 2023-05-02 time: 16:30:15 Download: 162.40 Upload: 5.19
date: 2023-05-02 time: 16:31:10 Download: 175.04 Upload: 5.28
date: 2023-05-02 time: 16:32:04 Download: 195.73 Upload: 5.06
date: 2023-05-02 time: 16:33:01 Download: 196.27 Upload: 5.06
date: 2023-05-02 time: 16:33:58 Download: 173.27 Upload: 5.11
date: 2023-05-02 time: 16:34:52 Download: 158.32 Upload: 5.10
date: 2023-05-02 time: 16:35:48 Download: 175.09 Upload: 5.28
date: 2023-05-02 time: 16:36:47 Download: 188.21 Upload: 5.25
date: 2023-05-02 time: 16:37:45 Download: 164.28 Upload: 5.03
date: 2023-05-02 time: 16:38:38 Download: 183.22 Upload: 4.98
date: 2023-05-02 time: 16:39:30 Download: 179.23 Upload: 4.84
date: 2023-05-02 time: 16:40:26 Download: 196.71 Upload: 5.14
